Games	% won
457		0.789934
458		0.790393
459		0.788671
460		0.789130
461		0.789588
462		0.790043
463		0.790497
464		0.790948
465		0.791398
466		0.791845
467		0.790150
468		0.790598
469		0.791045
470		0.791489
471		0.791932
472		0.792373
473		0.792812
474		0.793249
475		0.791579
476		0.789916
477		0.790356
478		0.790795
479		0.791232
480		0.791667
481		0.792100
482		0.792531
483		0.792961
484		0.793388
485		0.791753
486		0.792181
487		0.792608
488		0.793033
489		0.793456
490		0.793878
491		0.792261
492		0.792683
493		0.793103
494		0.793522
495		0.793939
496		0.794355
497		0.792757
498		0.791165
499		0.789579
500		0.788000
501		0.788423
502		0.788845
503		0.787276
504		0.787698
505		0.788119
506		0.788538
507		0.788955
508		0.789370
509		0.789784
510		0.788235
511		0.788650
512		0.787109
513		0.785575
514		0.785992
515		0.784466
516		0.782946
517		0.781431
518		0.781853
519		0.782274
520		0.782692
521		0.783109
522		0.783525
523		0.783939
524		0.784351
525		0.784762
526		0.785171
527		0.785579
528		0.785985
529		0.786389
530		0.786792
531		0.787194
532		0.787594
533		0.786116
534		0.786517
535		0.786916
536		0.785448
537		0.785847
538		0.784387
539		0.784787
540		0.783333
541		0.783734
542		0.782288
543		0.782689
544		0.783088
545		0.783486
546		0.783883
547		0.784278
548		0.784672
549		0.785064
550		0.785455
551		0.784029
552		0.784420
553		0.784810
554		0.785199
555		0.785586
556		0.785971
557		0.784560
558		0.784946
559		0.785331
560		0.785714
561		0.786096
562		0.786477
563		0.785080
564		0.785461
565		0.784071
566		0.784452
567		0.784832
568		0.785211
569		0.783831
570		0.784211
571		0.782837
572		0.783217
573		0.783595
574		0.783972
575		0.784348
576		0.784722
577		0.785095
578		0.785467
579		0.785838
580		0.784483
581		0.784854
582		0.785223
583		0.785592
584		0.785959
585		0.786325
586		0.786689
587		0.787053
588		0.787415
589		0.786078
590		0.786441
591		0.786802
592		0.787162
593		0.785835
594		0.784512
595		0.783193
596		0.781879
597		0.782245
598		0.782609
599		0.782972
600		0.783333
601		0.783694
602		0.784053
603		0.784411
604		0.784768
605		0.783471
606		0.782178
607		0.782537
608		0.782895
609		0.783251
610		0.783607
611		0.783961
612		0.784314
613		0.784666
614		0.785016
615		0.785366
616		0.785714
617		0.786062
618		0.786408
619		0.786753
620		0.785484
621		0.785829
622		0.786174
623		0.786517
624		0.785256
625		0.784000
626		0.782748
627		0.783094
628		0.781847
629		0.782194
630		0.782540
631		0.782884
632		0.783228
633		0.783570
634		0.783912
635		0.784252
636		0.784591
637		0.783359
638		0.783699
639		0.784038
640		0.784375
641		0.784711
642		0.785047
643		0.783826
644		0.784161
645		0.782946
646		0.783282
647		0.782071
648		0.782407
649		0.782743
650		0.783077
651		0.781874
652		0.782209
653		0.782542
654		0.782875
655		0.783206
656		0.783537
657		0.783866
658		0.784195
659		0.783005
660		0.783333
661		0.783661
662		0.782477
663		0.782805
664		0.783133
665		0.783459
666		0.783784
667		0.784108
668		0.782934
669		0.783259
670		0.782090
671		0.782414
672		0.782738
673		0.783061
674		0.783383
675		0.782222
676		0.782544
677		0.782866
678		0.783186
679		0.782032
680		0.782353
681		0.782673
682		0.782991
683		0.783309
684		0.783626
685		0.783942
686		0.784257
687		0.784571
688		0.784884
689		0.785196
690		0.785507
691		0.784370
692		0.784682
693		0.784993
694		0.785303
695		0.784173
696		0.784483
697		0.784792
698		0.785100
699		0.785408
700		0.785714
701		0.786020
702		0.786325
703		0.786629
704		0.786932
705		0.787234
706		0.787535
707		0.787836
708		0.788136
709		0.788434
710		0.788732
711		0.789030
712		0.789326
713		0.789621
714		0.789916
715		0.790210
716		0.790503
717		0.790795
718		0.791086
719		0.791377
720		0.791667
721		0.790569
722		0.790859
723		0.791148
724		0.791436
725		0.791724
726		0.792011
727		0.792297
728		0.791209
729		0.791495
730		0.791781
731		0.792066
732		0.792350
733		0.792633
734		0.792916
735		0.791837
736		0.792120
737		0.792402
738		0.792683
739		0.791610
740		0.791892
741		0.790823
742		0.791105
743		0.790040
744		0.790323
745		0.790604
746		0.790885
747		0.789826
748		0.790107
749		0.790387
750		0.790667
751		0.790945
752		0.789894
753		0.790173
754		0.790451
755		0.790728
756		0.791005
757		0.791281
758		0.791557
759		0.791831
760		0.792105
761		0.792378
762		0.791339
763		0.791612
764		0.791885
765		0.792157
766		0.792428
767		0.792699
768		0.792969
769		0.793238
770		0.793506
771		0.793774
772		0.794041
773		0.794308
774		0.794574
775		0.794839
776		0.795103
777		0.794080
778		0.794344
779		0.794608
780		0.794872
781		0.795134
782		0.795396
783		0.795658
784		0.795918
785		0.796178
786		0.796438
787		0.795426
788		0.795685
789		0.795944
790		0.796203
791		0.796460
792		0.796717
793		0.795712
794		0.795970
795		0.796226
796		0.796482
797		0.795483
798		0.795739
799		0.795995
800		0.796250
801		0.796504
802		0.795511
803		0.795766
804		0.796020
805		0.796273
806		0.795285
807		0.795539
808		0.795792
809		0.796044
810		0.796296
811		0.796547
812		0.796798
813		0.795818
814		0.796069
815		0.796319
816		0.796569
817		0.796818
818		0.797066
819		0.797314
820		0.797561
821		0.797808
822		0.798054
823		0.798299
824		0.798544
825		0.798788
826		0.799031
827		0.799274
828		0.799517
829		0.799759
830		0.800000
831		0.800241
832		0.799279
833		0.799520
834		0.799760
835		0.800000
836		0.800239
837		0.799283
838		0.799523
839		0.799762
840		0.800000
841		0.800238
842		0.800475
843		0.800712
844		0.800948
845		0.801183
846		0.801418
847		0.801653
848		0.800708
849		0.800942
850		0.801176
851		0.800235
852		0.800469
853		0.800703
854		0.800937
855		0.801170
856		0.801402
857		0.801634
858		0.801865
859		0.802095
860		0.802326
861		0.802555
862		0.802784
863		0.803013
864		0.803241
865		0.803468
866		0.803695
867		0.802768
868		0.802995
869		0.803222
870		0.803448
871		0.803674
872		0.803899
873		0.802978
874		0.803204
875		0.803429
876		0.803653
877		0.803877
878		0.804100
879		0.804323
880		0.804545
881		0.804767
882		0.804989
883		0.805210
884		0.805430
885		0.805650
886		0.805869
887		0.806088
888		0.806306
889		0.806524
890		0.805618
891		0.805836
892		0.806054
893		0.806271
894		0.805369
895		0.805587
896		0.805804
897		0.806020
898		0.806236
899		0.805339
900		0.805556
901		0.805771
902		0.805987
903		0.806202
904		0.806416
905		0.806630
906		0.806843
907		0.807056
908		0.807269
909		0.807481
910		0.806593
911		0.806806
912		0.807018
913		0.807229
914		0.807440
915		0.807650
916		0.807860
917		0.808070
918		0.808279
919		0.808487
920		0.808696
921		0.808903
922		0.808026
923		0.808234
924		0.808442
925		0.808649
926		0.807775
927		0.806904
928		0.807112
929		0.807320
930		0.807527
931		0.806660
932		0.806867
933		0.807074
934		0.807281
935		0.807487
936		0.807692
937		0.806830
938		0.807036
939		0.806177
940		0.806383
941		0.806589
942		0.806794
943		0.806999
944		0.807203
945		0.807407
946		0.807611
947		0.807814
948		0.808017
949		0.808219
950		0.808421
951		0.807571
952		0.807773
953		0.806925
954		0.807128
955		0.807330
956		0.807531
957		0.807732
958		0.807933
959		0.807091
960		0.807292
961		0.807492
962		0.807692
963		0.807892
964		0.808091
965		0.807254
966		0.807453
967		0.807653
968		0.807851
969		0.808050
970		0.808247
971		0.808445
972		0.807613
973		0.807811
974		0.808008
975		0.807179
976		0.807377
977		0.807574
978		0.807771
979		0.807967
980		0.808163
981		0.807339
982		0.807536
983		0.806714
984		0.806911
985		0.807107
986		0.807302
987		0.807497
988		0.807692
989		0.807887
990		0.808081
991		0.808274
992		0.807460
993		0.807654
994		0.807847
995		0.808040
996		0.808233
997		0.808425
998		0.808617
999		0.807808
1000		0.808000
1001		0.808192
1002		0.808383
1003		0.808574
1004		0.808765
1005		0.808955
1006		0.809145
1007		0.809335
1008		0.809524
1009		0.809713
1010		0.809901
1011		0.810089
1012		0.810277
1013		0.810464
1014		0.810651
1015		0.810837
1016		0.811024
1017		0.811209
1018		0.810413
1019		0.810599
1020		0.810784
1021		0.810970
1022		0.811155
1023		0.811339
1024		0.811523
1025		0.811707
1026		0.811891
1027		0.812074
1028		0.812257
1029		0.812439
1030		0.811650
1031		0.811833
1032		0.812016
1033		0.812197
1034		0.812379
1035		0.812560
1036		0.812741
1037		0.812922
1038		0.813102
1039		0.813282
1040		0.813462
1041		0.813641
1042		0.813820
1043		0.813998
1044		0.814176
1045		0.813397
1046		0.812620
1047		0.812798
1048		0.812977
1049		0.813155
1050		0.813333
1051		0.812559
1052		0.812738
1053		0.812915
1054		0.813093
1055		0.812322
1056		0.812500
1057		0.812677
1058		0.812854
1059		0.813031
1060		0.813208
1061		0.813384
1062		0.813559
1063		0.812794
1064		0.812970
1065		0.813146
1066		0.813321
1067		0.813496
1068		0.813670
1069		0.813845
1070		0.814019
1071		0.814192
1072		0.813433
1073		0.812675
1074		0.812849
1075		0.812093
1076		0.812268
1077		0.812442
1078		0.811688
1079		0.811863
1080		0.812037
1081		0.812211
1082		0.812384
1083		0.812558
1084		0.812731
1085		0.812903
1086		0.812155
1087		0.812328
1088		0.812500
1089		0.812672
1090		0.812844
1091		0.813016
1092		0.812271
1093		0.811528
1094		0.811700
1095		0.811872
1096		0.811131
1097		0.811304
1098		0.811475
1099		0.811647
1100		0.811818
1101		0.811081
1102		0.811252
1103		0.811423
1104		0.811594
1105		0.810860
1106		0.811031
1107		0.811201
1108		0.811372
1109		0.811542
1110		0.810811
1111		0.810981
1112		0.811151
1113		0.811321
1114		0.811490
1115		0.811659
1116		0.811828
1117		0.811996
1118		0.812165
1119		0.812332
1120		0.812500
1121		0.812667
1122		0.812834
1123		0.813001
1124		0.812278
1125		0.811556
1126		0.811723
1127		0.811890
1128		0.812057
1129		0.812223
1130		0.812389
1131		0.812555
1132		0.812721
1133		0.812004
1134		0.812169
1135		0.812335
1136		0.811620
1137		0.811785
1138		0.811951
1139		0.811238
1140		0.811404
1141		0.811569
1142		0.811734
1143		0.811024
1144		0.811189
1145		0.811354
1146		0.811518
1147		0.811683
1148		0.811847
1149		0.811140
1150		0.811304
1151		0.810599
1152		0.809896
1153		0.810061
1154		0.810225
1155		0.810390
1156		0.810554
1157		0.809853
1158		0.810017
1159		0.810181
1160		0.810345
1161		0.810508
1162		0.810671
1163		0.810834
1164		0.810997
1165		0.811159
1166		0.811321
1167		0.810626
1168		0.809932
1169		0.810094
1170		0.809402
1171		0.809564
1172		0.809727
1173		0.809037
1174		0.809199
1175		0.809362
1176		0.809524
1177		0.809686
1178		0.809847
1179		0.810008
1180		0.810169
1181		0.810330
1182		0.810491
1183		0.810651
1184		0.810811
1185		0.810970
1186		0.811130
1187		0.811289
1188		0.811448
1189		0.811606
1190		0.810924
1191		0.811083
1192		0.811242
1193		0.811400
1194		0.811558
1195		0.811715
1196		0.811873
1197		0.812030
1198		0.812187
1199		0.812344
1200		0.812500
1201		0.811823
1202		0.811980
1203		0.812136
1204		0.812292
1205		0.811618
1206		0.810945
1207		0.811102
1208		0.811258
1209		0.811414
1210		0.811570
1211		0.811726
1212		0.811881
1213		0.812036
1214		0.812191
1215		0.811523
1216		0.811678
1217		0.811832
1218		0.811987
1219		0.812141
1220		0.812295
1221		0.812449
1222		0.812602
1223		0.811938
1224		0.812092
1225		0.812245
1226		0.811582
1227		0.811736
1228		0.811075
1229		0.810415
1230		0.809756
1231		0.809911
1232		0.810065
1233		0.810219
1234		0.809562
1235		0.809717
1236		0.809871
1237		0.810024
1238		0.810178
1239		0.810331
1240		0.810484
1241		0.810637
1242		0.809984
1243		0.810137
1244		0.809486
1245		0.809639
1246		0.809791
1247		0.809944
1248		0.810096
1249		0.810248
1250		0.810400
1251		0.809752
